A1CF	0
A2M	0
A2ML1	0
A3GALT2	0
A4GALT	1
AAAS	484
AACS	18
AAGAB	4166
AAK1	5365
AAMDC	785
AANAT	1
AAR2	1174
AARS1	1747
AARS2	1113
AASDH	628
AASDHPPT	1414
AASS	187
AATF	766
AATK	33
ABAT	6
ABCA1	5221
ABCA12	3
ABCA13	0
ABCA2	220
ABCA3	1092
ABCA4	0
ABCA5	761
ABCA7	931
ABCB1	0
ABCB10	7271
ABCB11	0
ABCB5	0
ABCB6	7755
ABCB7	1090
ABCB8	936
ABCB9	119
ABCC1	2383
ABCC10	705
ABCC12	0
ABCC2	18
ABCC3	1139
ABCC4	27
ABCC5	2186
ABCC8	0
ABCC9	0
ABCD2	139
ABCD3	684
ABCD4	430
ABCE1	2579
ABCF1	5452
ABCF3	3334
ABCG1	125
ABCG4	77
ABCG5	1
ABHD1	791
ABHD10	232
ABHD11	914
ABHD12	1032
ABHD12B	108
ABHD13	426
ABHD14A	1977
ABHD14B	4313
ABHD15	58
ABHD16A	1161
ABHD16B	0
ABHD17A	18180
ABHD17B	179
ABHD17C	111
ABHD18	600
ABHD2	2191
ABHD3	46
ABHD4	1347
ABHD5	647
ABHD6	13
ABHD8	17
ABI1	1632
ABI2	69
ABI3	2205
ABITRAM	404
ABL1	1051
ABL2	786
ABLIM1	208
ABLIM2	0
ABLIM3	58
ABR	1229
ABRA	0
ABRACL	111
ABRAXAS1	1892
ABRAXAS2	598
ABT1	647
ABTB1	2353
ABTB2	24
ACAA1	908
ACAA2	675
ACACA	813
ACACB	69
ACAD10	1340
ACAD11	529
ACAD8	508
ACAD9	377
ACADL	120
ACADM	1096
ACADS	431
ACADSB	832
ACADVL	56
ACAN	0
ACAP2	2943
ACAP3	1
ACAT1	519
ACAT2	480
ACBD3	713
ACBD4	115
ACBD5	1332
ACBD6	722
ACBD7	2
ACCS	185
ACE	7046
ACER1	0
ACER2	128
ACER3	1079
ACHE	9806
ACIN1	6394
ACKR1	331
ACKR2	2
ACKR3	4618
ACKR4	2242
ACLY	1643
ACMSD	0
ACO1	2541
ACO2	2193
ACOD1	27
ACOT11	113
ACOT12	1
ACOT13	237
ACOT7	284
ACOT8	747
ACOT9	1830
ACOX1	711
ACOX2	4
ACOX3	211
ACP1	508
ACP2	1012
ACP3	0
ACP5	497
ACP6	891
ACP7	1589
ACR	0
ACRV1	0
ACSBG1	2
ACSBG2	1351
ACSF2	276
ACSF3	219
ACSL1	650
ACSL3	1669
ACSL4	817
ACSL5	6
ACSL6	15
ACSS1	6042
ACSS2	2258
ACSS3	0
ACTA1	753
ACTA2	30
ACTB	37606
ACTBL2	0
ACTC1	0
ACTG1	23656
ACTG2	137
ACTL6A	953
ACTL7A	117
ACTL8	0
ACTL9	0
ACTN1	3499
ACTN2	3
ACTN3	0
ACTN4	5006
ACTR10	1883
ACTR1A	1465
ACTR2	758
ACTR3	2433
ACTR3B	169
ACTR5	728
ACTR6	321
ACTR8	932
ACTRT3	0
ACVR1	230
ACVR1B	714
ACVR1C	0
ACVR2A	922
ACVR2B	384
ACVRL1	1
ACY1	945
ACY3	4
ACYP1	18
ACYP2	20
ADA	263
ADA2	673
ADAD1	46
ADAD2	0
ADAL	1253
ADAM10	1938
ADAM11	4
ADAM12	0
ADAM15	736
ADAM17	1381
ADAM19	77
ADAM22	1
ADAM23	2590
ADAM33	666
ADAM8	361
ADAM9	132
ADAMTS1	0
ADAMTS10	5
ADAMTS12	10
ADAMTS13	10
ADAMTS14	0
ADAMTS15	0
ADAMTS17	0
ADAMTS18	0
ADAMTS19	0
ADAMTS2	156
ADAMTS3	0
ADAMTS4	484
ADAMTS5	0
ADAMTS6	69
ADAMTS7	981
ADAMTS8	0
ADAMTS9	0
ADAMTSL1	0
ADAMTSL2	0
ADAMTSL3	2
ADAMTSL4	86
ADAMTSL5	170
ADAP1	72
ADAP2	53
ADAR	5941
ADARB1	694
ADARB2	0
ADAT1	360
ADAT2	351
ADAT3	291
ADCK1	135
ADCK2	763
ADCK5	758
ADCY1	0
ADCY10	1
ADCY2	0
ADCY3	98
ADCY4	3
ADCY5	66
ADCY6	1259
ADCY7	400
ADCY8	1
ADCY9	152
ADCYAP1	0
ADCYAP1R1	0
ADD1	3169
ADD2	0
ADD3	7120
ADGB	2
ADGRA1	0
ADGRA2	75
ADGRA3	562
ADGRB1	2
ADGRB2	0
ADGRB3	0
ADGRD1	2
ADGRD2	7
ADGRE5	896
ADGRF5	0
ADGRG1	4056
ADGRG2	352
ADGRG3	96
ADGRG5	354
ADGRG6	57
ADGRG7	0
ADGRL1	69
ADGRL2	1
ADGRL3	3
ADGRL4	0
ADGRV1	0
ADHFE1	12
ADI1	335
ADIG	6
ADIPOR1	629
ADIPOR2	492
ADIRF	0
ADK	411
ADM	0
ADM2	0
ADNP2	2157
ADO	130
ADORA1	0
ADORA2A	30
ADORA2B	111
ADORA3	3
ADPGK	2654
ADPRH	95
ADPRHL1	394
ADPRM	154
ADPRS	793
ADRA1A	0
ADRA1B	0
ADRA1D	0
ADRA2A	2
ADRA2B	4
ADRA2C	0
ADRB1	60
ADRB2	25
ADRB3	0
ADRM1	3532
ADSL	456
ADSS1	2638
ADSS2	328
AEBP1	1
AEBP2	662
AFAP1	41
AFAP1L1	539
AFAP1L2	13
AFDN	3497
AFF1	4511
AFF2	2331
AFF3	18
AFF4	1911
AFG1L	37
AFG3L2	1706
AFMID	6
AFTPH	1965
AGA	166
AGAP1	209
AGAP2	170
AGAP3	24
AGBL1	0
AGBL2	0
AGBL3	28
AGBL4	0
AGBL5	2811
AGFG1	1252
AGFG2	334
AGGF1	1693
AGK	212
AGL	1202
AGMAT	41
AGMO	0
AGO2	2478
AGO3	307
AGPAT2	361
AGPAT3	15
AGPAT4	317
AGPAT5	1481
AGPS	477
AGR2	0
AGR3	0
AGRN	86
AGT	0
AGTPBP1	2232
AGTR1	0
AGTR2	1
AGXT	0
AGXT2	12
AHCTF1	1844
AHCY	895
AHCYL1	1377
AHCYL2	326
AHDC1	1655
AHI1	3319
AHNAK	3576
AHR	1544
AHRR	4
AHSA1	1269
AHSG	0
AICDA	0
AIDA	1220
AIF1	298
AIF1L	17
AIFM1	609
AIFM2	288
AIFM3	0
AIG1	45
AIMP1	1619
