A1CF	0
A2M	0
A2ML1	1
A3GALT2	0
A4GALT	0
AAAS	557
AACS	21
AAGAB	3109
AAK1	2446
AAMDC	287
AANAT	0
AAR2	756
AARS1	1646
AARS2	749
AASDH	429
AASDHPPT	744
AASS	128
AATF	558
AATK	32
ABAT	4
ABCA1	4450
ABCA12	23
ABCA13	0
ABCA2	182
ABCA3	932
ABCA4	0
ABCA5	404
ABCA7	620
ABCB1	0
ABCB10	5455
ABCB11	0
ABCB5	0
ABCB6	6329
ABCB7	773
ABCB8	1225
ABCB9	82
ABCC1	1750
ABCC10	645
ABCC12	0
ABCC2	25
ABCC3	881
ABCC4	6
ABCC5	1782
ABCC8	0
ABCC9	0
ABCD2	84
ABCD3	462
ABCD4	266
ABCE1	1924
ABCF1	3354
ABCF3	2190
ABCG1	30
ABCG4	39
ABCG5	1
ABHD1	673
ABHD10	195
ABHD11	779
ABHD12	748
ABHD12B	34
ABHD13	296
ABHD14A	1715
ABHD14B	4116
ABHD15	62
ABHD16A	1282
ABHD16B	0
ABHD17A	14636
ABHD17B	112
ABHD17C	75
ABHD18	506
ABHD2	1449
ABHD3	11
ABHD4	1058
ABHD5	461
ABHD6	15
ABHD8	10
ABI1	989
ABI2	18
ABI3	913
ABITRAM	327
ABL1	817
ABL2	613
ABLIM1	105
ABLIM2	0
ABLIM3	36
ABR	774
ABRA	0
ABRACL	36
ABRAXAS1	1524
ABRAXAS2	461
ABT1	685
ABTB1	2470
ABTB2	28
ACAA1	616
ACAA2	342
ACACA	644
ACACB	113
ACAD10	1092
ACAD11	466
ACAD8	362
ACAD9	247
ACADL	70
ACADM	664
ACADS	341
ACADSB	654
ACADVL	18
ACAN	0
ACAP2	2866
ACAP3	1
ACAT1	264
ACAT2	270
ACBD3	421
ACBD4	64
ACBD5	1016
ACBD6	563
ACBD7	3
ACCS	88
ACE	3886
ACER1	0
ACER2	106
ACER3	913
ACHE	6177
ACIN1	5382
ACKR1	335
ACKR2	0
ACKR3	2634
ACKR4	1422
ACLY	1266
ACMSD	1
ACO1	1710
ACO2	1740
ACOD1	24
ACOT11	22
ACOT12	0
ACOT13	120
ACOT7	159
ACOT8	586
ACOT9	1271
ACOX1	605
ACOX2	0
ACOX3	224
ACP1	380
ACP2	699
ACP3	0
ACP5	156
ACP6	665
ACP7	848
ACR	0
ACRV1	0
ACSBG1	0
ACSBG2	526
ACSF2	153
ACSF3	132
ACSL1	262
ACSL3	1285
ACSL4	747
ACSL5	0
ACSL6	52
ACSS1	4818
ACSS2	1151
ACSS3	0
ACTA1	288
ACTA2	25
ACTB	16814
ACTBL2	0
ACTC1	0
ACTG1	12022
ACTG2	30
ACTL6A	729
ACTL7A	61
ACTL8	0
ACTL9	0
ACTN1	1710
ACTN2	3
ACTN3	1
ACTN4	3639
ACTR10	1336
ACTR1A	1951
ACTR2	525
ACTR3	1199
ACTR3B	93
ACTR5	566
ACTR6	248
ACTR8	708
ACTRT3	0
ACVR1	229
ACVR1B	429
ACVR1C	0
ACVR2A	681
ACVR2B	383
ACVRL1	0
ACY1	539
ACY3	1
ACYP1	10
ACYP2	11
ADA	85
ADA2	94
ADAD1	11
ADAD2	0
ADAL	1155
ADAM10	1263
ADAM11	3
ADAM12	0
ADAM15	279
ADAM17	1192
ADAM19	132
ADAM22	1
ADAM23	2152
ADAM33	336
ADAM8	77
ADAM9	84
ADAMTS1	0
ADAMTS10	0
ADAMTS12	1
ADAMTS13	133
ADAMTS14	0
ADAMTS15	0
ADAMTS17	0
ADAMTS18	0
ADAMTS19	0
ADAMTS2	97
ADAMTS3	0
ADAMTS4	453
ADAMTS5	0
ADAMTS6	31
ADAMTS7	453
ADAMTS8	1
ADAMTS9	0
ADAMTSL1	0
ADAMTSL2	0
ADAMTSL3	2
ADAMTSL4	52
ADAMTSL5	432
ADAP1	30
ADAP2	27
ADAR	3846
ADARB1	357
ADARB2	0
ADAT1	289
ADAT2	197
ADAT3	287
ADCK1	173
ADCK2	298
ADCK5	428
ADCY1	0
ADCY10	0
ADCY2	0
ADCY3	53
ADCY4	1
ADCY5	43
ADCY6	577
ADCY7	207
ADCY8	0
ADCY9	191
ADCYAP1	0
ADCYAP1R1	0
ADD1	2302
ADD2	0
ADD3	4696
ADGB	0
ADGRA1	0
ADGRA2	46
ADGRA3	411
ADGRB1	1
ADGRB2	0
ADGRB3	0
ADGRD1	0
ADGRD2	2
ADGRE5	880
ADGRF5	0
ADGRG1	3557
ADGRG2	257
ADGRG3	78
ADGRG5	156
ADGRG6	23
ADGRG7	0
ADGRL1	65
ADGRL2	1
ADGRL3	0
ADGRL4	0
ADGRV1	7
ADHFE1	34
ADI1	241
ADIG	18
ADIPOR1	401
ADIPOR2	315
ADIRF	0
ADK	273
ADM	0
ADM2	0
ADNP2	1678
ADO	142
ADORA1	0
ADORA2A	20
ADORA2B	73
ADORA3	5
ADPGK	2140
ADPRH	155
ADPRHL1	379
ADPRM	177
ADPRS	493
ADRA1A	0
ADRA1B	0
ADRA1D	0
ADRA2A	0
ADRA2B	2
ADRA2C	0
ADRB1	6
ADRB2	7
ADRB3	0
ADRM1	2643
ADSL	351
ADSS1	3066
ADSS2	233
AEBP1	0
AEBP2	503
AFAP1	17
AFAP1L1	317
AFAP1L2	5
AFDN	3171
AFF1	2934
AFF2	1449
AFF3	8
AFF4	1456
AFG1L	53
AFG3L2	1266
AFMID	4
AFTPH	1288
AGA	102
AGAP1	191
AGAP2	101
AGAP3	13
AGBL1	0
AGBL2	0
AGBL3	4
AGBL4	0
AGBL5	2169
AGFG1	1462
AGFG2	352
AGGF1	1188
AGK	207
AGL	783
AGMAT	34
AGMO	0
AGO2	2482
AGO3	207
AGPAT2	198
AGPAT3	21
AGPAT4	150
AGPAT5	611
AGPS	327
AGR2	0
AGR3	0
AGRN	69
AGT	0
AGTPBP1	1685
AGTR1	0
AGTR2	1
AGXT	0
AGXT2	7
AHCTF1	1507
AHCY	358
AHCYL1	1009
AHCYL2	234
AHDC1	886
AHI1	1234
AHNAK	1437
AHR	535
AHRR	0
AHSA1	1037
AHSG	0
AICDA	0
AIDA	664
AIF1	70
AIF1L	3
AIFM1	550
AIFM2	131
AIFM3	0
AIG1	26
AIMP1	961
AIMP2	407
AJAP1	0
AJM1	0
AK1	51
