A1CF	0
A2M	0
A2ML1	2
A3GALT2	0
A4GALT	0
AAAS	394
AACS	52
AAGAB	3114
AAK1	3261
AAMDC	353
AANAT	0
AAR2	892
AARS1	1864
AARS2	731
AASDH	489
AASDHPPT	831
AASS	154
AATF	744
AATK	29
ABAT	7
ABCA1	3815
ABCA12	1
ABCA13	0
ABCA2	222
ABCA3	1178
ABCA4	0
ABCA5	416
ABCA7	844
ABCB1	0
ABCB10	5551
ABCB11	0
ABCB5	0
ABCB6	9369
ABCB7	804
ABCB8	708
ABCB9	102
ABCC1	2247
ABCC10	693
ABCC12	0
ABCC2	47
ABCC3	1344
ABCC4	29
ABCC5	1884
ABCC8	0
ABCC9	0
ABCD2	140
ABCD3	540
ABCD4	394
ABCE1	2148
ABCF1	4194
ABCF3	2345
ABCG1	16
ABCG4	34
ABCG5	1
ABHD1	672
ABHD10	201
ABHD11	725
ABHD12	844
ABHD12B	64
ABHD13	277
ABHD14A	1557
ABHD14B	3045
ABHD15	76
ABHD16A	1250
ABHD16B	0
ABHD17A	12320
ABHD17B	84
ABHD17C	118
ABHD18	577
ABHD2	1571
ABHD3	27
ABHD4	1634
ABHD5	506
ABHD6	40
ABHD8	11
ABI1	1098
ABI2	15
ABI3	1772
ABITRAM	274
ABL1	935
ABL2	538
ABLIM1	111
ABLIM2	0
ABLIM3	91
ABR	1012
ABRA	1
ABRACL	105
ABRAXAS1	1181
ABRAXAS2	436
ABT1	868
ABTB1	2723
ABTB2	35
ACAA1	781
ACAA2	672
ACACA	299
ACACB	126
ACAD10	1036
ACAD11	375
ACAD8	387
ACAD9	462
ACADL	91
ACADM	1367
ACADS	358
ACADSB	615
ACADVL	59
ACAN	0
ACAP2	2457
ACAP3	1
ACAT1	285
ACAT2	257
ACBD3	606
ACBD4	101
ACBD5	1015
ACBD6	629
ACBD7	3
ACCS	132
ACE	6532
ACER1	0
ACER2	78
ACER3	1074
ACHE	8979
ACIN1	5461
ACKR1	345
ACKR2	1
ACKR3	4747
ACKR4	1815
ACLY	1468
ACMSD	0
ACO1	1794
ACO2	1726
ACOD1	107
ACOT11	134
ACOT12	0
ACOT13	99
ACOT7	384
ACOT8	702
ACOT9	2174
ACOX1	788
ACOX2	1
ACOX3	278
ACP1	382
ACP2	738
ACP3	0
ACP5	312
ACP6	863
ACP7	1293
ACR	1
ACRV1	0
ACSBG1	0
ACSBG2	349
ACSF2	262
ACSF3	230
ACSL1	622
ACSL3	1211
ACSL4	918
ACSL5	1
ACSL6	19
ACSS1	4431
ACSS2	1653
ACSS3	1
ACTA1	373
ACTA2	48
ACTB	36922
ACTBL2	0
ACTC1	0
ACTG1	20605
ACTG2	96
ACTL6A	605
ACTL7A	119
ACTL8	1
ACTL9	0
ACTN1	3722
ACTN2	3
ACTN3	4
ACTN4	4073
ACTR10	1326
ACTR1A	1381
ACTR2	579
ACTR3	1718
ACTR3B	170
ACTR5	574
ACTR6	313
ACTR8	793
ACTRT3	0
ACVR1	197
ACVR1B	466
ACVR1C	0
ACVR2A	811
ACVR2B	532
ACVRL1	2
ACY1	868
ACY3	3
ACYP1	3
ACYP2	23
ADA	224
ADA2	138
ADAD1	22
ADAD2	2
ADAL	2449
ADAM10	1384
ADAM11	5
ADAM12	0
ADAM15	784
ADAM17	1281
ADAM19	177
ADAM22	1
ADAM23	2106
ADAM33	536
ADAM8	359
ADAM9	50
ADAMTS1	1
ADAMTS10	2
ADAMTS12	9
ADAMTS13	35
ADAMTS14	0
ADAMTS15	0
ADAMTS17	0
ADAMTS18	2
ADAMTS19	0
ADAMTS2	53
ADAMTS3	0
ADAMTS4	404
ADAMTS5	1
ADAMTS6	7
ADAMTS7	815
ADAMTS8	2
ADAMTS9	0
ADAMTSL1	0
ADAMTSL2	0
ADAMTSL3	1
ADAMTSL4	49
ADAMTSL5	434
ADAP1	53
ADAP2	10
ADAR	4365
ADARB1	489
ADARB2	0
ADAT1	312
ADAT2	233
ADAT3	143
ADCK1	135
ADCK2	435
ADCK5	429
ADCY1	0
ADCY10	1
ADCY2	0
ADCY3	71
ADCY4	7
ADCY5	93
ADCY6	1248
ADCY7	273
ADCY8	0
ADCY9	155
ADCYAP1	0
ADCYAP1R1	0
ADD1	3176
ADD2	0
ADD3	5184
ADGB	0
ADGRA1	2
ADGRA2	38
ADGRA3	461
ADGRB1	0
ADGRB2	0
ADGRB3	0
ADGRD1	0
ADGRD2	8
ADGRE5	1478
ADGRF5	0
ADGRG1	6663
ADGRG2	913
ADGRG3	170
ADGRG5	187
ADGRG6	74
ADGRG7	0
ADGRL1	1543
ADGRL2	5
ADGRL3	2
ADGRL4	0
ADGRV1	3
ADHFE1	4
ADI1	235
ADIG	3
ADIPOR1	457
ADIPOR2	332
ADIRF	0
ADK	351
ADM	0
ADM2	0
ADNP2	1650
ADO	198
ADORA1	0
ADORA2A	28
ADORA2B	168
ADORA3	2
ADPGK	1577
ADPRH	150
ADPRHL1	1237
ADPRM	198
ADPRS	655
ADRA1A	0
ADRA1B	2
ADRA1D	0
ADRA2A	1
ADRA2B	3
ADRA2C	0
ADRB1	21
ADRB2	16
ADRB3	0
ADRM1	2312
ADSL	311
ADSS1	1648
ADSS2	308
AEBP1	0
AEBP2	608
AFAP1	67
AFAP1L1	368
AFAP1L2	7
AFDN	2749
AFF1	3837
AFF2	2410
AFF3	21
AFF4	1336
AFG1L	35
AFG3L2	1322
AFMID	3
AFTPH	1346
AGA	92
AGAP1	160
AGAP2	138
AGAP3	23
AGBL1	0
AGBL2	1
AGBL3	12
AGBL4	0
AGBL5	2037
AGFG1	1026
AGFG2	263
AGGF1	1191
AGK	152
AGL	1078
AGMAT	22
AGMO	0
AGO2	2721
AGO3	128
AGPAT2	399
AGPAT3	31
AGPAT4	253
AGPAT5	945
AGPS	421
AGR2	0
AGR3	0
AGRN	47
AGT	0
AGTPBP1	1604
AGTR1	0
AGTR2	0
AGXT	0
AGXT2	7
AHCTF1	1296
AHCY	409
AHCYL1	1138
AHCYL2	233
AHDC1	1079
AHI1	1062
AHNAK	4674
AHR	1035
AHRR	1
AHSA1	885
AHSG	0
AICDA	0
AIDA	816
AIF1	257
AIF1L	6
AIFM1	549
AIFM2	185
AIFM3	0
AIG1	35
AIMP1	1072
AIMP2	463
