A1CF	0
A2M	1
A2ML1	3
A3GALT2	0
A4GALT	0
AAAS	549
AACS	42
AAGAB	4254
AAK1	1794
AAMDC	981
AANAT	0
AAR2	1108
AARS1	3260
AARS2	965
AASDH	750
AASDHPPT	1027
AASS	270
AATF	1107
AATK	21
ABAT	1
ABCA1	1757
ABCA12	3
ABCA13	0
ABCA2	50
ABCA3	910
ABCA4	0
ABCA5	379
ABCA7	669
ABCB1	1
ABCB10	3462
ABCB11	0
ABCB5	0
ABCB6	11079
ABCB7	1029
ABCB8	1287
ABCB9	166
ABCC1	3111
ABCC10	905
ABCC12	0
ABCC2	51
ABCC3	1844
ABCC4	3
ABCC5	1503
ABCC8	0
ABCC9	0
ABCD2	108
ABCD3	678
ABCD4	523
ABCE1	2995
ABCF1	6338
ABCF3	3001
ABCG1	4
ABCG4	12
ABCG5	10
ABHD1	935
ABHD10	271
ABHD11	999
ABHD12	794
ABHD12B	17
ABHD13	257
ABHD14A	2289
ABHD14B	2680
ABHD15	143
ABHD16A	1554
ABHD16B	0
ABHD17A	19056
ABHD17B	153
ABHD17C	161
ABHD18	394
ABHD2	1084
ABHD3	26
ABHD4	1618
ABHD5	629
ABHD6	11
ABHD8	13
ABI1	1212
ABI2	105
ABI3	492
ABITRAM	326
ABL1	989
ABL2	820
ABLIM1	88
ABLIM2	1
ABLIM3	17
ABR	1014
ABRA	0
ABRACL	78
ABRAXAS1	1732
ABRAXAS2	695
ABT1	685
ABTB1	3422
ABTB2	22
ACAA1	1415
ACAA2	809
ACACA	303
ACACB	110
ACAD10	1030
ACAD11	649
ACAD8	624
ACAD9	404
ACADL	87
ACADM	1682
ACADS	659
ACADSB	922
ACADVL	21
ACAN	0
ACAP2	4766
ACAP3	0
ACAT1	631
ACAT2	198
ACBD3	713
ACBD4	182
ACBD5	1393
ACBD6	870
ACBD7	5
ACCS	123
ACE	1326
ACER1	0
ACER2	75
ACER3	1187
ACHE	9595
ACIN1	8970
ACKR1	305
ACKR2	0
ACKR3	7049
ACKR4	1355
ACLY	1792
ACMSD	0
ACO1	1977
ACO2	4050
ACOD1	9
ACOT11	56
ACOT12	2
ACOT13	89
ACOT7	25
ACOT8	1156
ACOT9	1763
ACOX1	691
ACOX2	0
ACOX3	226
ACP1	505
ACP2	891
ACP3	0
ACP5	175
ACP6	992
ACP7	1910
ACR	0
ACRV1	0
ACSBG1	0
ACSBG2	629
ACSF2	315
ACSF3	401
ACSL1	249
ACSL3	1332
ACSL4	1047
ACSL5	0
ACSL6	214
ACSS1	4120
ACSS2	1135
ACSS3	0
ACTA1	408
ACTA2	14
ACTB	26828
ACTBL2	0
ACTC1	0
ACTG1	10509
ACTG2	39
ACTL6A	1064
ACTL7A	198
ACTL8	0
ACTL9	0
ACTN1	2640
ACTN2	8
ACTN3	4
ACTN4	3800
ACTR10	1905
ACTR1A	1380
ACTR2	695
ACTR3	1836
ACTR3B	165
ACTR5	870
ACTR6	206
ACTR8	1442
ACTRT3	0
ACVR1	245
ACVR1B	805
ACVR1C	2
ACVR2A	1133
ACVR2B	488
ACVRL1	2
ACY1	921
ACY3	0
ACYP1	12
ACYP2	47
ADA	92
ADA2	45
ADAD1	49
ADAD2	0
ADAL	2393
ADAM10	1450
ADAM11	1
ADAM12	1
ADAM15	471
ADAM17	1529
ADAM19	235
ADAM22	1
ADAM23	1547
ADAM33	308
ADAM8	143
ADAM9	239
ADAMTS1	0
ADAMTS10	4
ADAMTS12	0
ADAMTS13	7
ADAMTS14	0
ADAMTS15	0
ADAMTS17	0
ADAMTS18	0
ADAMTS19	0
ADAMTS2	201
ADAMTS3	0
ADAMTS4	906
ADAMTS5	0
ADAMTS6	32
ADAMTS7	1890
ADAMTS8	0
ADAMTS9	0
ADAMTSL1	0
ADAMTSL2	0
ADAMTSL3	1
ADAMTSL4	36
ADAMTSL5	56
ADAP1	33
ADAP2	13
ADAR	3504
ADARB1	304
ADARB2	0
ADAT1	309
ADAT2	274
ADAT3	248
ADCK1	166
ADCK2	627
ADCK5	693
ADCY1	0
ADCY10	0
ADCY2	0
ADCY3	56
ADCY4	1
ADCY5	69
ADCY6	826
ADCY7	213
ADCY8	0
ADCY9	94
ADCYAP1	0
ADCYAP1R1	0
ADD1	4050
ADD2	0
ADD3	7530
ADGB	0
ADGRA1	0
ADGRA2	29
ADGRA3	606
ADGRB1	0
ADGRB2	0
ADGRB3	0
ADGRD1	1
ADGRD2	5
ADGRE5	1143
ADGRF5	0
ADGRG1	2081
ADGRG2	266
ADGRG3	71
ADGRG5	172
ADGRG6	16
ADGRG7	0
ADGRL1	340
ADGRL2	1
ADGRL3	11
ADGRL4	0
ADGRV1	1
ADHFE1	13
ADI1	360
ADIG	11
ADIPOR1	486
ADIPOR2	295
ADIRF	0
ADK	408
ADM	0
ADM2	0
ADNP2	1762
ADO	341
ADORA1	0
ADORA2A	28
ADORA2B	110
ADORA3	5
ADPGK	1382
ADPRH	299
ADPRHL1	175
ADPRM	282
ADPRS	754
ADRA1A	0
ADRA1B	0
ADRA1D	0
ADRA2A	0
ADRA2B	2
ADRA2C	0
ADRB1	8
ADRB2	3
ADRB3	0
ADRM1	3667
ADSL	1083
ADSS1	3853
ADSS2	382
AEBP1	0
AEBP2	869
AFAP1	9
AFAP1L1	92
AFAP1L2	8
AFDN	2399
AFF1	3138
AFF2	1798
AFF3	3
AFF4	1148
AFG1L	60
AFG3L2	2065
AFMID	0
