A1CF	0
A2M	3
A2ML1	0
A3GALT2	0
A4GALT	1
AAAS	644
AACS	59
AAGAB	3751
AAK1	2237
AAMDC	268
AANAT	0
AAR2	1375
AARS1	1909
AARS2	1009
AASDH	670
AASDHPPT	1289
AASS	124
AATF	817
AATK	6
ABAT	3
ABCA1	4302
ABCA12	3
ABCA13	0
ABCA2	49
ABCA3	655
ABCA4	0
ABCA5	377
ABCA7	517
ABCB1	0
ABCB10	3478
ABCB11	0
ABCB5	0
ABCB6	8733
ABCB7	899
ABCB8	943
ABCB9	142
ABCC1	2622
ABCC10	780
ABCC12	0
ABCC2	16
ABCC3	1286
ABCC4	30
ABCC5	1261
ABCC8	0
ABCC9	168
ABCD2	112
ABCD3	528
ABCD4	457
ABCE1	2813
ABCF1	3951
ABCF3	2389
ABCG1	170
ABCG4	5
ABCG5	1
ABHD1	1213
ABHD10	385
ABHD11	660
ABHD12	1013
ABHD12B	38
ABHD13	400
ABHD14A	2027
ABHD14B	4483
ABHD15	74
ABHD16A	1241
ABHD16B	0
ABHD17A	16385
ABHD17B	136
ABHD17C	94
ABHD18	644
ABHD2	852
ABHD3	23
ABHD4	1466
ABHD5	923
ABHD6	10
ABHD8	10
ABI1	1173
ABI2	56
ABI3	352
ABITRAM	602
ABL1	912
ABL2	830
ABLIM1	33
ABLIM2	0
ABLIM3	1
ABR	777
ABRA	0
ABRACL	162
ABRAXAS1	1867
ABRAXAS2	701
ABT1	889
ABTB1	2088
ABTB2	18
ACAA1	1191
ACAA2	676
ACACA	465
ACACB	102
ACAD10	1520
ACAD11	514
ACAD8	755
ACAD9	518
ACADL	93
ACADM	1056
ACADS	547
ACADSB	515
ACADVL	38
ACAN	0
ACAP2	3300
ACAP3	0
ACAT1	537
ACAT2	193
ACBD3	599
ACBD4	82
ACBD5	971
ACBD6	952
ACBD7	5
ACCS	96
ACE	2164
ACER1	0
ACER2	91
ACER3	989
ACHE	10885
ACIN1	6553
ACKR1	408
ACKR2	3
ACKR3	4470
ACKR4	2144
ACLY	1387
ACMSD	1
ACO1	2034
ACO2	2457
ACOD1	107
ACOT11	75
ACOT12	0
ACOT13	257
ACOT7	64
ACOT8	1303
ACOT9	1480
ACOX1	952
ACOX2	3
ACOX3	128
ACP1	695
ACP2	747
ACP3	0
ACP5	260
ACP6	1409
ACP7	1271
ACR	0
ACRV1	0
ACSBG1	0
ACSBG2	427
ACSF2	146
ACSF3	398
ACSL1	459
ACSL3	1492
ACSL4	936
ACSL5	1
ACSL6	16
ACSS1	4081
ACSS2	1070
ACSS3	0
ACTA1	483
ACTA2	65
ACTB	37993
ACTBL2	0
ACTC1	0
ACTG1	17830
ACTG2	41
ACTL6A	899
ACTL7A	110
ACTL8	0
ACTL9	0
ACTN1	2299
ACTN2	0
ACTN3	3
ACTN4	3919
ACTR10	2163
ACTR1A	1661
ACTR2	736
ACTR3	2049
ACTR3B	88
ACTR5	1098
ACTR6	380
ACTR8	871
ACTRT3	0
ACVR1	289
ACVR1B	634
ACVR1C	0
ACVR2A	979
ACVR2B	433
ACVRL1	2
ACY1	863
ACY3	2
ACYP1	24
ACYP2	29
ADA	188
ADA2	51
ADAD1	59
ADAD2	0
ADAL	1641
ADAM10	1667
ADAM11	6
ADAM12	0
ADAM15	534
ADAM17	1661
ADAM19	152
ADAM22	3
ADAM23	1719
ADAM33	702
ADAM8	304
ADAM9	180
ADAMTS1	1
ADAMTS10	4
ADAMTS12	0
ADAMTS13	6
ADAMTS14	0
ADAMTS15	0
ADAMTS17	0
ADAMTS18	0
ADAMTS19	0
ADAMTS2	23
ADAMTS3	0
ADAMTS4	433
ADAMTS5	0
ADAMTS6	83
ADAMTS7	657
ADAMTS8	0
ADAMTS9	0
ADAMTSL1	0
ADAMTSL2	0
ADAMTSL3	2
ADAMTSL4	30
ADAMTSL5	18
ADAP1	74
ADAP2	44
ADAR	4212
ADARB1	409
ADARB2	0
ADAT1	420
ADAT2	252
ADAT3	685
ADCK1	162
ADCK2	513
ADCK5	784
ADCY1	0
ADCY10	0
ADCY2	0
ADCY3	36
ADCY4	2
ADCY5	48
ADCY6	345
ADCY7	249
ADCY8	0
ADCY9	139
ADCYAP1	0
ADCYAP1R1	0
ADD1	2123
ADD2	0
ADD3	6768
ADGB	0
ADGRA1	0
ADGRA2	38
ADGRA3	534
ADGRB1	0
ADGRB2	1
ADGRB3	0
ADGRD1	0
ADGRD2	2
ADGRE5	1102
ADGRF5	0
ADGRG1	1587
ADGRG2	211
ADGRG3	103
ADGRG5	217
ADGRG6	74
ADGRG7	0
ADGRL1	93
